age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29,Self-emp-not-inc,169544,HighGrad,9,Married,Transport-moving,Husband,White,Male,5178,0,40,United-States,>50K
18,Private,309634,dropout,7,NotMarried,Other-service,Own-child,White,Female,0,0,22,United-States,<=50K
31,Private,118941,CommunityCollege,10,Separated,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
45,Federal-gov,181970,HighGrad,9,Married,Adm-clerical,Husband,White,Male,0,1672,40,United-States,<=50K
58,State-gov,223400,Bachelors,13,Married,Prof-specialty,Wife,White,Female,0,0,20,United-States,>50K
27,Private,221912,HighGrad,9,NotMarried,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
34,Private,178615,HighGrad,9,NotMarried,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
45,Self-emp-not-inc,102771,Bachelors,13,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K
28,Private,270973,CommunityCollege,12,NotMarried,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
45,Private,89325,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
20,Private,227411,CommunityCollege,10,NotMarried,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
18,Private,423024,dropout,8,NotMarried,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K
55,Private,178644,dropout,5,Married,Craft-repair,Husband,White,Male,0,0,55,United-States,<=50K
54,,135840,CommunityCollege,10,Married,,Husband,White,Male,0,0,50,United-States,<=50K
24,Private,200973,CommunityCollege,10,NotMarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Local-gov,421446,Bachelors,13,Married,Exec-managerial,Husband,Black,Male,0,0,50,United-States,>50K
42,Local-gov,180985,dropout,6,Married,Handlers-cleaners,Husband,White,Male,99999,0,40,United-States,>50K
63,Local-gov,379940,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
23,Private,117480,dropout,6,NotMarried,Craft-repair,Own-child,White,Male,0,0,44,United-States,<=50K
21,Private,335570,CommunityCollege,10,NotMarried,Machine-op-inspct,Own-child,White,Male,0,0,30,,<=50K
44,Private,212888,Bachelors,13,Separated,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,<=50K
41,State-gov,100800,Masters,14,Separated,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States,<=50K
32,Private,231263,CommunityCollege,10,Married,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K
23,Private,161708,CommunityCollege,12,NotMarried,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K
46,Private,149949,dropout,4,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
49,Private,225124,HighGrad,9,Separated,Other-service,Own-child,Black,Female,0,0,40,United-States,<=50K
45,Local-gov,119199,CommunityCollege,12,Separated,Prof-specialty,Unmarried,White,Female,0,0,48,United-States,<=50K
25,Private,139730,HighGrad,9,Married,Craft-repair,Husband,White,Male,0,0,80,United-States,>50K
31,Private,502752,Bachelors,13,Married,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K
21,Private,30619,CommunityCollege,10,NotMarried,Exec-managerial,Not-in-family,White,Female,0,0,38,United-States,<=50K
35,Private,265954,HighGrad,9,Separated,Other-service,Not-in-family,Black,Male,0,0,40,United-States,<=50K
30,Private,190385,Bachelors,13,Married,Other-service,Wife,White,Female,0,0,40,United-States,>50K
45,Private,178416,CommunityCollege,11,Separated,Handlers-cleaners,Not-in-family,White,Female,0,0,40,United-States,<=50K
32,Private,296282,Bachelors,13,Married,Sales,Husband,White,Male,0,0,40,United-States,<=50K
25,Private,134113,Bachelors,13,NotMarried,Adm-clerical,Not-in-family,White,Male,0,0,30,United-States,<=50K
34,Private,171159,CommunityCollege,10,Separated,Adm-clerical,Unmarried,White,Female,0,0,30,United-States,<=50K
18,Private,298860,dropout,7,NotMarried,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
63,Private,339473,CommunityCollege,10,Separated,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K
33,Self-emp-not-inc,192256,Bachelors,13,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
20,,34862,CommunityCollege,10,NotMarried,,Own-child,Amer-Indian-Eskimo,Male,0,0,72,United-States,<=50K
48,Private,91251,dropout,4,Married,Other-service,Husband,Asian-Pac-Islander,Male,0,0,30,China,<=50K
35,Self-emp-not-inc,32528,HighGrad,9,Married,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,100593,CommunityCollege,10,Separated,Prof-specialty,Unmarried,White,Female,0,0,6,United-States,<=50K
42,State-gov,341638,Bachelors,13,Married,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
35,Federal-gov,49657,Bachelors,13,Married,Prof-specialty,Husband,White,Male,7298,0,40,United-States,>50K
21,Private,411068,CommunityCollege,10,NotMarried,Adm-clerical,Own-child,White,Female,0,0,35,United-States,<=50K
34,Private,260560,HighGrad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
22,Private,126613,CommunityCollege,10,NotMarried,Sales,Own-child,White,Female,0,0,20,United-States,<=50K
32,Private,176992,dropout,6,NotMarried,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
28,Private,114158,Bachelors,13,Married,Prof-specialty,Wife,White,Female,0,1977,24,United-States,>50K
21,Private,51262,HighGrad,9,NotMarried,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K
21,Private,182117,CommunityCollege,10,NotMarried,Other-service,Own-child,White,Male,0,0,15,United-States,<=50K
68,Local-gov,177596,dropout,6,Separated,Other-service,Not-in-family,Black,Female,0,0,90,United-States,<=50K
37,Private,286730,CommunityCollege,10,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
60,Private,159049,Masters,15,Married,Prof-specialty,Husband,White,Male,0,0,70,Germany,>50K
45,State-gov,127089,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,<=50K
69,,262352,CommunityCollege,10,Married,,Husband,White,Male,0,0,32,United-States,<=50K
23,Private,39615,CommunityCollege,10,NotMarried,Handlers-cleaners,Own-child,White,Male,0,0,10,United-States,<=50K
45,Private,220641,CommunityCollege,10,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
31,Private,207537,HighGrad,9,Separated,Craft-repair,Own-child,White,Male,0,1669,50,United-States,<=50K
42,Private,296982,CommunityCollege,10,Separated,Sales,Unmarried,White,Male,0,0,40,United-States,<=50K
42,State-gov,136996,CommunityCollege,10,Married,Protective-serv,Husband,Black,Male,0,0,48,United-States,<=50K
39,Private,290922,Masters,14,NotMarried,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
33,Private,112941,HighGrad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
38,Private,168322,HighGrad,9,Married,Transport-moving,Husband,White,Male,0,0,60,United-States,<=50K
32,Private,169955,CommunityCollege,10,Married,Other-service,Wife,White,Female,0,0,36,Puerto-Rico,<=50K
37,Federal-gov,143547,Bachelors,13,NotMarried,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
38,Self-emp-not-inc,190387,HighGrad,9,Married,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,134737,Bachelors,13,NotMarried,Sales,Own-child,White,Male,0,0,40,United-States,>50K
73,State-gov,74040,dropout,4,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
46,State-gov,27802,CommunityCollege,12,Married,Tech-support,Husband,White,Male,0,0,38,United-States,>50K
38,Private,199816,HighGrad,9,Separated,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,<=50K
23,Private,212888,CommunityCollege,10,NotMarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
17,,139183,dropout,6,NotMarried,,Own-child,White,Female,0,0,15,United-States,<=50K
29,Federal-gov,196912,Bachelors,13,NotMarried,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K
37,Private,195189,CommunityCollege,10,Separated,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
28,Private,274964,HighGrad,9,Married,Craft-repair,Husband,White,Male,0,0,38,United-States,<=50K
37,Private,360743,CommunityCollege,10,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,>50K
17,Private,167658,dropout,8,NotMarried,Sales,Own-child,White,Female,0,0,6,United-States,<=50K
27,Local-gov,236472,Bachelors,13,Separated,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K
26,Local-gov,80485,Bachelors,13,NotMarried,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,<=50K
38,Local-gov,218184,dropout,3,Married,Handlers-cleaners,Other-relative,White,Male,0,0,40,Mexico,<=50K
41,,254630,CommunityCollege,11,Separated,,Not-in-family,White,Male,0,0,80,United-States,<=50K
44,Private,68748,CommunityCollege,10,Married,Sales,Husband,White,Male,0,0,48,United-States,<=50K
27,Private,66473,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
48,Private,255439,CommunityCollege,10,NotMarried,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
39,Self-emp-not-inc,34378,HighGrad,9,Married,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
39,Private,269323,CommunityCollege,10,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
34,Self-emp-inc,343789,Bachelors,13,Married,Exec-managerial,Husband,White,Male,7688,0,55,United-States,>50K
40,Private,236110,dropout,8,Married,Prof-specialty,Husband,White,Male,0,0,40,Cuba,>50K
19,Private,121788,CommunityCollege,10,NotMarried,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
55,Private,349304,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
68,Local-gov,144761,HighGrad,9,Widowed,Protective-serv,Not-in-family,White,Male,0,1668,20,United-States,<=50K
43,Private,334946,HighGrad,9,Married,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K
27,Private,130438,HighGrad,9,NotMarried,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,100054,dropout,6,NotMarried,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
35,Private,108140,Bachelors,13,Married,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
45,Private,200363,CommunityCollege,11,Separated,Exec-managerial,Not-in-family,White,Female,0,0,44,United-States,<=50K
39,Private,165106,Bachelors,13,NotMarried,Craft-repair,Not-in-family,White,Male,0,1564,50,,>50K
51,Private,145409,CommunityCollege,10,Married,Craft-repair,Husband,White,Male,3103,0,48,United-States,>50K
23,Private,352606,HighGrad,9,Separated,Priv-house-serv,Unmarried,White,Female,0,0,40,United-States,<=50K
17,Private,104232,dropout,6,NotMarried,Other-service,Own-child,White,Male,0,0,10,United-States,<=50K
23,Private,444554,HighGrad,9,NotMarried,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,<=50K
32,,53042,HighGrad,9,NotMarried,,Own-child,Black,Male,0,0,40,United-States,<=50K
41,Private,124639,CommunityCollege,10,Separated,Craft-repair,Not-in-family,Black,Male,0,0,40,United-States,<=50K
41,Private,178431,HighGrad,9,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,<=50K
21,,123983,CommunityCollege,10,NotMarried,,Other-relative,Asian-Pac-Islander,Male,0,0,10,Vietnam,<=50K
50,State-gov,24647,CommunityCollege,10,Married,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K
46,Private,172695,dropout,7,Widowed,Other-service,Not-in-family,White,Female,0,0,27,El-Salvador,<=50K
44,Private,162108,Bachelors,13,NotMarried,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K
21,Private,174907,HighGrad,9,NotMarried,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
31,Private,78602,CommunityCollege,12,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
46,Private,96080,dropout,5,Separated,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K
35,Private,108293,CommunityCollege,10,NotMarried,Adm-clerical,Own-child,White,Female,0,2205,40,United-States,<=50K
36,Self-emp-inc,108293,Bachelors,13,Married,Exec-managerial,Wife,White,Female,0,1977,45,United-States,>50K
41,Private,221172,Bachelors,13,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
26,Private,181666,CommunityCollege,12,Married,Adm-clerical,Own-child,White,Female,0,0,40,,<=50K
27,Local-gov,332249,HighGrad,9,NotMarried,Farming-fishing,Own-child,White,Male,0,0,40,United-States,<=50K
28,Private,138054,CommunityCollege,12,NotMarried,Other-service,Not-in-family,Other,Male,0,0,40,United-States,<=50K
34,Private,227689,CommunityCollege,11,Separated,Tech-support,Not-in-family,White,Female,0,0,64,United-States,<=50K
31,State-gov,255830,CommunityCollege,12,NotMarried,Adm-clerical,Own-child,Black,Female,0,0,45,United-States,<=50K
50,Private,144968,HighGrad,9,NotMarried,Tech-support,Own-child,White,Male,0,0,15,United-States,<=50K
18,Private,74054,dropout,7,NotMarried,Sales,Own-child,Other,Female,0,0,20,,<=50K
46,Local-gov,141058,HighGrad,9,Married,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
53,Local-gov,321770,HighGrad,9,NotMarried,Transport-moving,Other-relative,White,Female,0,0,35,United-States,<=50K
36,Private,410034,CommunityCollege,12,Married,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
24,Private,229553,HighGrad,9,NotMarried,Other-service,Own-child,Black,Female,0,0,20,,<=50K
43,Private,245842,HighGrad,9,Married,Machine-op-inspct,Husband,White,Male,0,0,44,Mexico,<=50K
23,Private,177087,dropout,7,NotMarried,Adm-clerical,Unmarried,Black,Male,0,0,35,United-States,<=50K
26,Private,179569,CommunityCollege,10,NotMarried,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
31,Private,77143,dropout,8,Separated,Transport-moving,Unmarried,Black,Male,0,0,40,United-States,<=50K
56,Federal-gov,67153,Masters,14,Married,Exec-managerial,Husband,White,Male,0,0,40,Portugal,>50K
35,Private,186110,HighGrad,9,Separated,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
31,Private,120460,CommunityCollege,10,Married,Farming-fishing,Husband,White,Male,0,0,50,United-States,>50K
31,Private,197860,CommunityCollege,10,Married,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
23,Private,183789,HighGrad,9,NotMarried,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
32,Self-emp-not-inc,115066,HighGrad,9,Married,Sales,Husband,White,Male,0,0,60,United-States,>50K
20,Private,34310,CommunityCollege,10,NotMarried,Sales,Own-child,White,Male,0,0,20,United-States,<=50K
18,,195981,HighGrad,9,Widowed,,Own-child,White,Male,0,0,40,United-States,<=50K
24,Private,153082,HighGrad,9,NotMarried,Sales,Not-in-family,White,Male,0,0,30,United-States,<=50K
58,Private,374108,CommunityCollege,10,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
22,Private,369549,CommunityCollege,10,NotMarried,Other-service,Not-in-family,Black,Female,0,0,30,United-States,<=50K
50,Self-emp-not-inc,156951,CommunityCollege,12,Married,Machine-op-inspct,Husband,White,Male,3103,0,40,United-States,>50K
42,Private,183241,Masters,14,Married,Prof-specialty,Wife,White,Female,0,0,45,United-States,>50K
26,Private,132749,CommunityCollege,10,NotMarried,Other-service,Own-child,White,Female,0,0,45,United-States,<=50K
69,Private,88566,dropout,5,Married,Other-service,Husband,White,Male,1424,0,35,United-States,<=50K
49,Local-gov,223342,CommunityCollege,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K
41,Private,196456,Masters,14,NotMarried,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K
18,Private,170627,dropout,7,NotMarried,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
63,Private,187919,dropout,7,Married,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
20,,162667,dropout,7,NotMarried,,Unmarried,White,Male,0,0,40,El-Salvador,<=50K
20,,210781,CommunityCollege,10,NotMarried,,Own-child,White,Female,0,0,10,United-States,<=50K
60,Private,74243,CommunityCollege,11,Widowed,Craft-repair,Not-in-family,White,Female,0,0,30,United-States,<=50K
19,Private,170800,HighGrad,9,NotMarried,Craft-repair,Own-child,White,Male,0,0,60,United-States,<=50K
39,Private,300760,HighGrad,9,Separated,Tech-support,Unmarried,White,Female,0,0,50,United-States,<=50K
45,Private,217953,HighGrad,9,Married,Craft-repair,Husband,Other,Male,0,0,40,Mexico,<=50K
36,Self-emp-inc,180477,CommunityCollege,10,Married,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
21,Private,147655,HighGrad,9,NotMarried,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
29,Private,195284,Doctorate,16,Separated,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,>50K
37,Local-gov,117760,CommunityCollege,11,NotMarried,Protective-serv,Not-in-family,White,Male,4650,0,40,United-States,<=50K
18,Private,137646,dropout,7,NotMarried,Other-service,Own-child,White,Female,0,0,15,United-States,<=50K
34,,197688,HighGrad,9,NotMarried,,Not-in-family,Black,Female,0,0,40,United-States,<=50K
46,Federal-gov,33794,Bachelors,13,Married,Tech-support,Husband,White,Male,3103,0,40,United-States,>50K
46,Private,164733,Masters,14,Married,Prof-specialty,Husband,White,Male,0,0,41,United-States,<=50K
41,Self-emp-inc,299813,dropout,5,Married,Sales,Wife,White,Female,0,0,70,Dominican-Republic,<=50K
40,Self-emp-not-inc,238574,Masters,15,Married,Prof-specialty,Husband,White,Male,0,0,55,United-States,>50K
42,State-gov,167581,Bachelors,13,NotMarried,Adm-clerical,Other-relative,White,Female,0,0,40,United-States,<=50K
35,Private,40135,CommunityCollege,10,Married,Handlers-cleaners,Husband,White,Male,0,2042,40,United-States,<=50K
70,Private,89787,HighGrad,9,Married,Prof-specialty,Husband,White,Male,0,0,20,United-States,<=50K
20,Private,250630,CommunityCollege,10,NotMarried,Sales,Not-in-family,White,Female,0,0,20,United-States,<=50K
35,,98389,CommunityCollege,10,NotMarried,,Unmarried,White,Male,0,0,10,United-States,<=50K
24,Self-emp-not-inc,267396,Bachelors,13,NotMarried,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
17,Local-gov,192387,dropout,5,NotMarried,Other-service,Own-child,White,Male,0,0,45,United-States,<=50K
28,,198393,HighGrad,9,NotMarried,,Not-in-family,Black,Female,0,0,40,United-States,<=50K
51,Private,162745,HighGrad,9,Married,Craft-repair,Husband,White,Male,7298,0,50,United-States,>50K
45,Private,191098,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K
22,Private,324922,HighGrad,9,NotMarried,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
47,Self-emp-inc,215620,Masters,14,Married,Exec-managerial,Husband,White,Male,15024,0,55,United-States,>50K
33,Self-emp-not-inc,203784,CommunityCollege,11,Married,Farming-fishing,Husband,White,Male,0,0,62,United-States,<=50K
28,Private,369114,HighGrad,9,Separated,Sales,Other-relative,White,Female,0,0,40,United-States,<=50K
35,Private,233786,dropout,7,Separated,Other-service,Unmarried,White,Male,0,0,20,United-States,<=50K
35,Private,145704,HighGrad,9,Married,Prof-specialty,Wife,White,Female,3942,0,35,United-States,<=50K
25,Private,252187,dropout,7,NotMarried,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
22,Private,184813,CommunityCollege,10,NotMarried,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
35,Self-emp-not-inc,157473,HighGrad,9,Married,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
58,Private,138285,CommunityCollege,12,Married,Craft-repair,Husband,White,Male,0,1740,40,United-States,<=50K
20,Private,291979,HighGrad,9,Married,Sales,Other-relative,White,Male,0,0,20,United-States,<=50K
29,Private,308944,HighGrad,9,NotMarried,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
34,Self-emp-not-inc,313729,Bachelors,13,Married,Sales,Husband,White,Male,0,0,60,United-States,>50K
35,Private,64922,Bachelors,13,Married,Exec-managerial,Husband,White,Male,7688,0,50,United-States,>50K
58,Private,191069,HighGrad,9,Married,Sales,Husband,White,Male,0,0,40,United-States,>50K
35,Private,119992,CommunityCollege,12,Married,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
43,Self-emp-not-inc,145441,Masters,15,Married,Prof-specialty,Husband,White,Male,0,0,30,United-States,>50K
43,Private,334991,CommunityCollege,10,Separated,Transport-moving,Unmarried,White,Male,4934,0,51,United-States,>50K
35,Private,199753,HighGrad,9,NotMarried,Machine-op-inspct,Own-child,White,Male,0,0,48,United-States,<=50K
61,Self-emp-not-inc,50483,dropout,4,Married,Farming-fishing,Husband,White,Male,0,0,56,United-States,<=50K
22,Private,113550,HighGrad,9,NotMarried,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
23,Private,278254,HighGrad,9,Married,Machine-op-inspct,Husband,Black,Male,0,0,45,United-States,<=50K
31,Self-emp-not-inc,117346,CommunityCollege,10,Married,Sales,Husband,White,Male,0,0,48,United-States,<=50K
31,Private,291052,CommunityCollege,10,Married,Adm-clerical,Husband,White,Male,0,2051,40,United-States,<=50K
27,State-gov,280618,Masters,14,NotMarried,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
55,Private,190257,HighGrad,9,Married,Farming-fishing,Husband,White,Male,0,0,53,United-States,>50K
23,,218415,CommunityCollege,10,NotMarried,,Own-child,White,Female,0,0,10,United-States,<=50K
44,Self-emp-inc,359259,HighGrad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,60,Portugal,<=50K
26,Self-emp-inc,176981,Bachelors,13,NotMarried,Adm-clerical,Own-child,White,Female,0,0,50,United-States,<=50K
39,Private,252327,dropout,5,Separated,Craft-repair,Own-child,White,Male,0,0,35,Mexico,<=50K
21,,80680,HighGrad,9,NotMarried,,Not-in-family,White,Female,0,0,40,United-States,<=50K
27,Private,255582,HighGrad,9,NotMarried,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
24,Local-gov,117109,Bachelors,13,NotMarried,Adm-clerical,Own-child,Black,Female,0,0,27,United-States,<=50K
23,Private,240137,dropout,3,NotMarried,Handlers-cleaners,Not-in-family,White,Male,0,0,55,Mexico,<=50K
67,Federal-gov,65475,HighGrad,9,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
49,Federal-gov,118701,HighGrad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
36,State-gov,143385,CommunityCollege,10,Married,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,206889,CommunityCollege,10,Married,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K
40,Self-emp-not-inc,26892,Bachelors,13,Married,Prof-specialty,Husband,White,Male,7298,0,50,United-States,>50K
23,Private,259301,HighGrad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
61,Local-gov,248595,dropout,2,Married,Other-service,Husband,White,Male,0,0,40,Mexico,<=50K
20,Private,39803,CommunityCollege,10,NotMarried,Other-service,Own-child,White,Male,0,1719,36,United-States,<=50K
77,,158847,CommunityCollege,11,NotMarried,,Not-in-family,White,Female,0,0,25,United-States,<=50K
36,Private,290409,CommunityCollege,10,Married,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
45,Private,289468,dropout,7,Widowed,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
55,Private,208019,dropout,3,Married,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K
25,Private,34803,Bachelors,13,NotMarried,Exec-managerial,Own-child,White,Female,0,0,20,United-States,<=50K
34,State-gov,173266,HighGrad,9,Married,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
61,Self-emp-inc,227232,Bachelors,13,Separated,Sales,Not-in-family,White,Female,0,0,30,United-States,<=50K
59,Self-emp-not-inc,136413,dropout,4,Married,Farming-fishing,Husband,White,Male,0,0,48,United-States,<=50K
29,Private,202878,dropout,4,Married,Farming-fishing,Husband,White,Male,0,2042,40,United-States,<=50K
27,Private,193898,Bachelors,13,Married,Sales,Husband,White,Male,0,0,45,United-States,>50K
37,Private,40955,Masters,15,Married,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
